5000 0.006204 0.067171 0.000841
10000 0.003251 0.196163 0.001665
15000 0.005239 0.442077 0.002511
20000 0.006992 0.785859 0.003337
25000 0.009044 1.232002 0.004183
30000 0.010966 1.780272 0.005062
35000 0.013074 2.408932 0.005872
40000 0.015171 3.143479 0.006769
45000 0.017321 3.976142 0.007784
50000 0.019381 4.906478 0.008617
55000 0.021487 5.941385 0.009329
60000 0.023806 7.073214 0.010404
65000 0.025982 8.297097 0.011358
70000 0.028003 9.652171 0.012195
75000 0.030486 11.049457 0.012887
80000 0.032477 12.560103 0.013749
85000 0.035138 14.570612 0.016215
90000 0.047735 17.194616 0.017744
95000 0.048582 18.139710 0.016557
100000 0.041640 20.757569 0.017517
